songid,user,videoname,url
pop23,0.5079320363274197,Clara Mae - Crash | 8D Audio ðŸŽ§ | SeaneecusMusic,https://www.youtube.com/watch?v=JkNxohNdhAw
pop34,0.4770140806769098,Halsey - so good,https://www.youtube.com/watch?v=N6tv11_KMiM
pop43,0.43211159673536503,Walk Off The Earth - I'll Be There (Lyrics),https://www.youtube.com/watch?v=aWz2aVqQ_ko
reggae7,0.4299314007322002,GONDWANA - PIÃ‰NSAME (Video Oficial),https://www.youtube.com/watch?v=sK0WveReY4U
pop31,0.41089146952426475,SHY Martin - Feelings (Lyrics),https://www.youtube.com/watch?v=lc8dwn8UHQQ
pop13,0.3722754557581532,Clara Mae - Not Sad Anymore (Lyrics),https://www.youtube.com/watch?v=AO0lR3DG66M
reggae49,0.36688859204056723,Mighty Maytones - Madness (1976),https://www.youtube.com/watch?v=9ECIJilEUmg
pop3,0.3621627508967496,Astrid S - ItÂ´s Ok If You Forget Me (Lyrics),https://www.youtube.com/watch?v=hI4HND3ZG58
pop7,0.3484026744773983,"Ariana Grande, Kid Cudi - Just Look Up (Lyrics)",https://www.youtube.com/watch?v=KxJNTVYJVdQ
country47,0.33933960871547797,Kelsea Ballerini - the other girl (with Halsey) [Official Lyric Video],https://www.youtube.com/watch?v=RRht2Sfv28U
